star_name,shifted_data,period,A0,N,sigma,A1,phi1,A2,phi2,A3,phi3,A4,phi4,A5,phi5,A6,phi6,A7,phi7,A8,phi8,A9,phi9,A10,phi10,A11,phi11,A12,phi12,A13,phi13,A14,phi14,A15,phi15,metallicity
SW And,,0.442265902,9.73,462,0.0091,0.3218,0.0179,0.1803,2.614,0.1057,5.485,0.059,2.0787,0.0336,4.7398,0.0203,1.2538,0.0115,4.2029,0.0059,0.8333,0.0025,4.5324,0.0026,1.9495,0.0033,5.5635,0.0044,1.982,0.0058,4.6203,0.0051,0.7701,0.0044,3.6286,-0.06
XX And,,0.7227526,10.739,75,0.0155,0.3358,1.6476,0.172,5.9663,0.1134,4.0763,0.0617,2.5336,0.0327,0.7637,0.0169,5.0608,0.0091,2.8171,0.0064,0.6308,0.0047,4.941,0.003,3.181,0.0012,1.7614,0.0006,1.7596,0.0013,0.5223,0.0011,5.682,0.0012,4.6372,-1.69
AT And,,0.61691475,10.722,86,0.0141,0.2,1.5871,0.0795,5.8195,0.0399,3.9177,0.0192,2.1835,0.0079,0.7096,0.0044,6.1257,0.0049,4.8843,0.0045,3.2026,0.0034,1.3768,0.0021,5.7125,0.0011,3.6049,0.0008,1.2567,0.0009,5.3117,0.0007,3.8731,0.0008,1.9359,-0.92
WY Ant,*,0.5743365,10.892,340,0.0184,0.3241,2.9349,0.1425,1.911,0.111,1.1494,0.0745,0.5286,0.0427,0.0012,0.024,5.7267,0.0096,5.0062,0.0071,4.5184,0.0032,4.3242,0.0039,4.4465,0.0043,4.1754,0.0048,3.5231,0.0061,3.0121,0.0056,2.3907,0.005,1.7239,-1.39
SW Aqr,,0.4593029,11.294,147,0.018,0.4646,1.8951,0.2167,6.0193,0.161,4.1492,0.098,2.3481,0.0737,0.5435,0.0523,5.1398,0.0351,3.3187,0.0198,1.3537,0.0194,5.7091,0.0167,4.0255,0.0118,2.3529,0.008,0.6458,0.005,5.698,0.0048,2.3401,0.0009,0.6272,-1.14
SX Aqr,,0.53571327,11.861,329,0.0394,0.4046,0.3381,0.1709,2.9299,0.1424,5.7229,0.0942,2.4395,0.0641,5.4375,0.0446,2.1401,0.0315,5.1106,0.0223,1.7783,0.0158,4.7087,0.0112,1.3322,0.0079,4.2322,0.0057,0.8642,0.004,3.8251,0.0028,0.6184,0.002,3.8915,-1.55
TZ Aqr,,0.5711943,12.181,119,0.0231,0.2813,0.6258,0.1383,3.7364,0.0985,0.9115,0.0511,4.5213,0.0258,1.7933,0.0128,5.3779,0.0064,2.89,0.0042,0.6254,0.0039,4.4471,0.0039,1.8305,0.004,5.2533,0.0038,2.3196,0.0032,5.6679,0.0026,2.8533,0.0019,0.1033,-0.99
BO Aqr,,0.6940186,12.228,142,0.0246,0.3629,2.1503,0.1892,0.5791,0.1208,5.4832,0.0708,4.2925,0.0409,2.9604,0.0235,1.5356,0.0135,0.0716,0.0075,4.9357,0.0035,3.9847,0.003,3.4215,0.0037,2.5902,0.0042,1.4446,0.004,0.2106,0.0032,5.2665,0.0019,4.0501,-1.52
BR Aqr,,0.4818785,11.499,166,0.0251,0.3767,3.4168,0.2,2.9576,0.1368,2.8274,0.0902,2.7881,0.0588,2.7009,0.0372,2.5766,0.0228,2.4117,0.0133,2.1867,0.0075,1.8836,0.0042,1.5347,0.0023,1.1834,0.0007,0.8682,0.0007,3.6934,0.0021,3.6419,0.0032,3.6772,-0.6
CP Aqr,,0.463407,11.862,118,0.0176,0.4309,4.3768,0.2419,4.8695,0.1396,5.6786,0.0973,0.3645,0.0588,1.1697,0.0398,1.8609,0.0305,2.5665,0.0237,3.3317,0.0171,4.1567,0.0111,5.0192,0.0063,5.8313,0.0026,0.097,0.0013,5.7409,0.0023,5.9404,0.0029,0.4238,-0.5
