ATO_ID,ra,dec
J318.2492+02.8327,318.24927,2.83274
J318.8755+03.2933,318.87555,3.29333
J318.0854+04.8221,318.08548,4.82216
J309.6708+30.6262,309.67084,30.62627
J309.6524+32.0820,309.65246,32.08204
J318.7898+22.7601,318.78988,22.7601
J107.5185+01.2549,107.51856,1.25498
J107.9597+01.3337,107.95974,1.33376
J302.8629+56.7994,302.86296,56.79946
J107.9740+05.0059,107.97408,5.00595
J309.8812+41.7834,309.88129,41.78346
J302.9654+58.3018,302.9654,58.30182
J309.1921+42.4879,309.19218,42.48794
J309.3831+42.6615,309.38313,42.66153
J107.6169+05.3103,107.61697,5.31033
J107.7850+05.4411,107.78504,5.44119
J309.0445+43.2647,309.04459,43.26479
J309.0601+43.8744,309.06013,43.87442
J302.6342-11.2267,302.63424,-11.22675
J302.2755-13.4596,302.27556,-13.45967
J104.2642-13.8622,104.26428,-13.86224
J218.0514-02.1959,218.05146,-2.19592
J286.5178+19.4601,286.51786,19.46016
J306.8834+29.3896,306.8834,29.3896
J298.0970+17.6453,298.097,17.6453
J124.5666+42.3792,124.56666,42.37928
J124.1628+43.8069,124.16288,43.80693
J104.8392-13.7263,104.83928,-13.72635
J029.3698+36.9382,29.36983,36.93829
J111.1471-09.4453,111.14711,-9.44533
J281.9076-01.8651,281.90762,-1.86511
J269.8281-06.3554,269.8281,-6.35543
J269.5228-06.3411,269.52281,-6.34112
J324.4418+50.3985,324.44184,50.39852
J288.8512-10.4028,288.85122,-10.40282
J082.7159+45.5909,82.71596,45.59099
J263.3864+12.1283,263.3864,12.12839
J300.2373+51.1008,300.23739,51.10086
J336.6028+27.7889,336.60286,27.78898
J250.7617-06.9819,250.76173,-6.98198
J291.4448+34.9101,291.44487,34.91018
J218.3203-25.3124,218.32038,-25.31245
J111.8636-10.0436,111.86369,-10.04369
J283.3680-08.3724,283.368,-8.37241
J104.2483-14.8825,104.24831,-14.8825
J104.9642-14.8590,104.96421,-14.85907
J315.1606+28.1570,315.16068,28.157
J269.5722-10.3991,269.5722,-10.3991
J269.1771-13.8986,269.17713,-13.89863
J269.8095-14.8538,269.80953,-14.8538
J306.6633+36.2345,306.66331,36.23459
J358.5871+52.9779,358.58717,52.97798
J090.5379-05.2688,90.53795,-5.26882
J283.2187-10.4764,283.2187,-10.4764
J336.8448+45.7490,336.84488,45.74908
J104.6614-20.6628,104.66146,-20.66286
J124.1318-19.1821,124.13183,-19.18219
J219.1154-06.9577,219.11542,-6.95772
J315.5320+34.6066,315.53202,34.60669
J278.4480+35.1230,278.44809,35.12302
J269.1058-14.7121,269.1058,-14.7121
J269.3555-14.6945,269.3555,-14.69457
J269.9865-14.6016,269.98656,-14.6016
